[2025-05-26 10:00:29] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/app-base.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/app-base.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/app-rtl.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/app-rtl.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/app.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/app.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/common-rtl.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/common-rtl.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/common.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/common.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-dark-mode.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-dark-mode.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview-legacy-rtl.css
